codigoestacion,nombreestacion,departamento,municipio,latitud,longitud
2120000170,COLEGIO SIMON RODRIGUEZ SEDE C,BOGOTÁ,BOGOTA D.C,4.6405,-74.05435
2120000170,COLEGIO SIMON RODRIGUEZ SEDE C,BOGOTÁ,BOGOTÁ D.C,4.6405,-74.05435
2120000125,COLEGIO SORRENTO,BOGOTÁ,BOGOTA D.C,4.619586,-74.11322
2120000125,COLEGIO SORRENTO,BOGOTÁ,BOGOTÁ D.C,4.619586,-74.11322
2120000172,COLEGIO UNION COLOMBIA SEDE A,BOGOTÁ,BOGOTA D.C,4.75947,-74.02752
2120000172,COLEGIO UNION COLOMBIA SEDE A,BOGOTÁ,BOGOTÁ D.C,4.75947,-74.02752
2120000099,COLEGIO VEINTIUN ANGELES,BOGOTÁ,BOGOTA D.C,4.749234,-74.08073
2120000099,COLEGIO VEINTIUN ANGELES,BOGOTÁ,BOGOTÁ D.C,4.749234,-74.08073
2120000099,COLEGIO VEINTIUN ANGELES - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.749,-74.081
0021202250,DOÑA JUANA,BOGOTÁ,BOGOTA D.C,4.50082,-74.13739
0021202250,DOÑA JUANA,BOGOTÁ,BOGOTÁ D.C,4.50082,-74.13739
2120000105,EL CODITO,BOGOTÁ,BOGOTA D.C,4.763457,-74.021772
2120000105,EL CODITO,BOGOTÁ,BOGOTÁ D.C,4.763457,-74.021772
2120000105,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.763,-74.022
0021205791,EL DORADO CATAM,BOGOTÁ,BOGOTÁ D.C,4.705583333,-74.15066667
0021205791,EL DORADO CATAM,BOGOTÁ,BOGOTÁ D.C,4.705583,-74.150667
2120000139,ESC. PEDAGOGICA EXPRIMENTAL,BOGOTÁ,BOGOTA D.C,4.67553,-74.01927
2120000139,ESC. PEDAGOGICA EXPRIMENTAL,BOGOTÁ,BOGOTÁ D.C,4.67553,-74.01927
2120000140,FUNDACIÓN ANA RESTREPO DEL CORRAL,BOGOTÁ,BOGOTA D.C,4.7055,-74.02263
2120000140,FUNDACIÓN ANA RESTREPO DEL CORRAL,BOGOTÁ,BOGOTÁ D.C,4.7055,-74.02263
2120000106,GRAN BRETAÑA,BOGOTÁ,BOGOTA D.C,4.5117,-74.16352222
2120000106,GRAN BRETAÑA,BOGOTÁ,BOGOTÁ D.C,4.5117,-74.163522222
2120000106,GRAN BRETAÑA - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.512,-74.164
0021201980,GUADALUPE,BOGOTÁ,BOGOTA D.C,4.59157,-74.05471
0021201980,GUADALUPE,BOGOTÁ,BOGOTÁ D.C,4.59157,-74.05471
0021206960,IDEAM BOGOTA  - AUT,BOGOTA,"BOGOTA, D.C",4.6,-74.06666667
2120500204,IDEAM PUENTE ARANDA,CUNDINAMARCA,BOGOTA D.C,4.62155611,-74.10470889
2120500204,IDEAM PUENTE ARANDA,BOGOTÁ,BOGOTÁ D.C,4.621556111,-74.104708889
2120500204,IDEAM PUENTE ARANDA,BOGOTÁ,BOGOTÁ D.C,4.621608,-74.103408
2120000108,IDIGER,BOGOTÁ,BOGOTA D.C,4.674932,-74.113609
2120000108,IDIGER,BOGOTÁ,BOGOTÁ D.C,4.674932,-74.113609
2120000108,IDIGER - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.675,-74.114
0021206560,INEM KENNEDY,BOGOTÁ,BOGOTA D.C,4.66111111,-74.13477778
0021206560,INEM KENNEDY,BOGOTÁ,BOGOTÁ D.C,4.661111111,-74.13477778
0021206560,INEM KENNEDY,BOGOTÁ,BOGOTÁ D.C,4.62543,-74.15606
0021206560,INEM KENNEDY,BOGOTÁ,BOGOTÁ D.C,4.62547,-74.156066
0021205710,JARDIN BOTANICO,BOGOTÁ,BOGOTA D.C,4.66933333,-74.10266667
0021205710,JARDIN BOTANICO,BOGOTÁ,BOGOTÁ D.C,4.669333333,-74.10266667
0021205710,JARDIN BOTANICO,BOGOTÁ,BOGOTÁ D.C,4.667867,-74.101034
0021205710,JARDIN BOTANICO  - AUT,BOGOTA,"BOGOTA, D.C",4.669333333,-74.10266667
0021202190,JUAN REY,BOGOTÁ,BOGOTA D.C,4.51872,-74.08867
0021202190,JUAN REY,BOGOTÁ,BOGOTÁ D.C,4.51872,-74.08867
0021208480,KENNEDY,BOGOTÁ,BOGOTA D.C,4.61104201,-74.178333
0021208480,KENNEDY,BOGOTÁ,BOGOTÁ D.C,4.61104201,-74.178333
0035025060,LA BOLSA,CUNDINAMARCA,CHOACHÍ,4.575416667,-73.98141667
0035025060,LA BOLSA,CUNDINAMARCA,CHOACHÍ,4.587059,-73.995885
0021206900,LA ESPERANZA USME,BOGOTÁ,BOGOTA D.C,4.44914,-74.10792
0021206900,LA ESPERANZA USME,BOGOTÁ,BOGOTÁ D.C,4.44914,-74.10792
2120000107,LA FISCALA,BOGOTÁ,BOGOTA D.C,4.53602,-74.10654
2120000107,LA FISCALA,BOGOTÁ,BOGOTÁ D.C,4.53602,-74.10654
2120000107,LA FISCALA - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.536,-74.106
0021206780,LA INDEPENDENCI,BOGOTÁ,BOGOTA D.C,4.619272,-74.194594
0021206780,LA INDEPENDENCI,BOGOTÁ,BOGOTÁ D.C,4.619272,-74.194594
2120700154,MOLINOS,BOGOTÁ,BOGOTA D.C,4.55322,-74.10789
2120700154,MOLINOS,BOGOTÁ,BOGOTÁ D.C,4.55322,-74.10789
0021206600,NUEVA GENERACION,BOGOTÁ,BOGOTÁ D.C,4.782222222,-74.09433333
0021206600,NUEVA GENERACION,BOGOTÁ,BOGOTÁ D.C,4.786594,-74.102247
0021206600,NUEVA GENERACION  - AUT,BOGOTA,"BOGOTA, D.C",4.782222222,-74.09433333
0021202220,PARAISO,BOGOTÁ,BOGOTA D.C,4.62789,-74.0587
0021202220,PARAISO,BOGOTÁ,BOGOTÁ D.C,4.62789,-74.0587
0021201580,PASQUILLA,BOGOTÁ,BOGOTA D.C,4.44647201,-74.154839
0021201580,PASQUILLA,BOGOTÁ,BOGOTÁ D.C,4.44647201,-74.154839
0021202180,QUIBA,BOGOTÁ,BOGOTA D.C,4.54311,-74.15601
0021202180,QUIBA,BOGOTÁ,BOGOTÁ D.C,4.54311,-74.15601
0021206810,SAN BENITO,BOGOTÁ,BOGOTA D.C,4.56365303,-74.13845
0021206810,SAN BENITO,BOGOTÁ,BOGOTÁ D.C,4.56365303,-74.13845
2120700038,SAN FRANCISCO,BOGOTÁ,BOGOTA D.C,4.56235,-74.148869
2120700038,SAN FRANCISCO,BOGOTÁ,BOGOTÁ D.C,4.56235,-74.148869
2120700038,SAN FRANCISCO - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.562,-74.149
0021205420,TIBAITATA,CUNDINAMARCA,MOSQUERA,4.691416667,-74.209
0021205420,TIBAITATA,CUNDINAMARCA,MOSQUERA,4.688662,-74.205626
0021206990,TIBAITATA,CUNDINAMARCA,MOSQUERA,4.68863,-74.20559
0021206990,TIBAITATA - AUT,CUNDINAMARCA,MOSQUERA,4.691416667,-74.209
0021202240,UAN SEDE CIRCUNVALAR,BOGOTÁ,BOGOTA D.C,4.63546,-74.05746
0021202240,UAN SEDE CIRCUNVALAR,BOGOTÁ,BOGOTÁ D.C,4.63546,-74.05746
0021202230,UAN SEDE USME,BOGOTÁ,BOGOTA D.C,4.48152,-74.12708
0021202230,UAN SEDE USME,BOGOTÁ,BOGOTÁ D.C,4.48152,-74.12708
0021205012,UNIVERSIDAD NACIONAL,BOGOTÁ,BOGOTA D.C,4.63723,-74.08892
0021205012,UNIVERSIDAD NACIONAL,BOGOTÁ,BOGOTÁ D.C,4.63723,-74.08892
0021205012,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",4.638083333,-74.08908333
2120500201,VITELMA,BOGOTÁ,BOGOTA D.C,4.57515,-74.07175
2120500201,VITELMA,BOGOTÁ,BOGOTÁ D.C,4.57515,-74.07175
