SAMPLING EVENT IDENTIFIER,Diversidad_Grupo,Shannon_Index,PC1,Factor1,PC2,Factor2,PC3,Factor3
S192471848,Baja_Q1,1.4802954930769538,-0.5988694670659582,0.7528637657066835,3.1356135133932344,1.3691224646319726,1.1993882513400347,1.6575121163175865
S191751334,Alta_Q3,2.5696348968373925,2.33484974721609,-0.9015981485279436,-1.4102547077283298,-1.3071037369169072,0.3858867200869052,0.35816885593529724
S192479865,Baja_Q1,1.4802954930769538,-0.5988694670659582,0.7528637657066835,3.1356135133932344,1.3691224646319726,1.1993882513400347,1.6575121163175865
S194005154,Media_Q2_Q3,2.485713681490384,1.4832121271762728,-0.8892658025519001,-1.927556960364164,-1.0366248620786662,-0.04201606715323541,-0.2040751861851722
S193059472,Media_Q2_Q3,2.516813803811603,1.8808108309666958,1.1671183287530402,0.4981113947882853,-0.9718154920114891,-1.3227405654681974,-0.496744755883375
S193408829,Media_Q2_Q3,2.1819737079630146,-0.7451649943277001,2.1318209880474255,3.7233500272665867,1.228773837251254,0.0851675538553905,0.5932099143448483
S192734549,Media_Q2_Q3,1.9913464134109882,1.2830903723579363,0.028002156872144426,-1.0628877147539268,-0.9581559194052295,-0.9724246652932457,-0.6955073911677886
S193627535,Baja_Q1,0.3250829733914482,-5.705470305511003,0.222117373190033,1.229651134214733,2.5754904669005256,-0.15987717751619007,-0.9726425315280797
S193428809,Baja_Q1,0.3250829733914482,-5.705470305511003,0.222117373190033,1.229651134214733,2.5754904669005256,-0.15987717751619007,-0.9726425315280797
S192123580,Media_Q2_Q3,1.73125993050054,-1.8479978418483407,-0.40269655884642963,0.6474624464118016,1.1959308553322086,0.7118662824473233,0.4766503022751916
S192056258,Media_Q2_Q3,2.498000493918597,-0.031214134051526465,-0.5963461981868293,-1.240290389825527,-0.34127602194446066,-0.38500337315877764,-0.5894805136490421
S190786763,Media_Q2_Q3,2.198426042063994,-2.156144977510893,1.00337457006966,0.5126702959848736,0.8133789200252851,-1.158214401669463,-1.3522404111518005
S211075101,Media_Q2_Q3,1.73125993050054,-1.8479978418483407,-0.40269655884642963,0.6474624464118016,1.1959308553322086,0.7118662824473233,0.4766503022751916
S192958838,Media_Q2_Q3,2.3282701746996435,2.4792347278642666,1.4705035543578204,0.4566833843491977,-1.2797083849136621,-0.9238520996064958,-0.5616683719180149
S192585420,Baja_Q1,1.4941751382893085,-0.18819048914272044,-0.9431478993026821,-0.7350575304913948,0.28451933402186824,1.1798934014675355,0.5880250798386197
S193069275,Baja_Q1,1.4930109151798037,1.695638206936973,2.225061285980781,4.48247629747086,0.46421759697942694,0.31045972998892263,1.7750729955361784
S211075104,Media_Q2_Q3,1.756693256179383,2.612850934668872,1.0493570409971475,3.969467473860571,0.30817033325162385,2.0190217599425258,3.1587188000788444
S190088816,Media_Q2_Q3,1.8542895913703736,-2.3740190647067463,-0.6904038639843543,-1.1151991088949018,0.7777740867547026,-0.2803566841426399,-0.8855428371050367
S190582198,Media_Q2_Q3,1.6433683111160344,-3.715513041560533,1.0480017630091605,1.772826744350072,2.0349624122874324,-0.4370509174510587,-0.8593153661341207
S190788501,Media_Q2_Q3,1.756693256179383,2.612850934668872,1.0493570409971475,3.969467473860571,0.30817033325162385,2.0190217599425258,3.1587188000788444
S192576342,Media_Q2_Q3,1.9459347757561138,1.7017417670403716,-0.9061062177668864,-1.7000193440809068,-0.9723200161437084,0.642398856233566,0.23991034426716534
S191228568,Media_Q2_Q3,1.745240533526831,1.297856522380553,-0.8475489380908784,1.4107680299117087,0.49488435135186504,3.152360287812745,2.906156095779882
S192584357,Baja_Q1,1.2290985307613993,-0.18819048914272044,-0.9431478993026821,-0.7350575304913948,0.28451933402186824,1.1798934014675355,0.5880250798386197
S189854226,Media_Q2_Q3,2.0137458668029717,-2.44566815909438,-1.0506004564860325,-1.6431010346096626,0.578950828623274,0.07581663745128643,-0.9091564184460359
S191228567,Media_Q2_Q3,1.745240533526831,1.297856522380553,-0.8475489380908784,1.4107680299117087,0.49488435135186504,3.152360287812745,2.906156095779882
S192998744,Media_Q2_Q3,1.941145412847657,-1.7426758872818098,-0.04237542891098862,-0.03605811164342388,0.6799536308001526,-0.6236628676705485,-0.6441048076012061
S193177408,Baja_Q1,1.3807851425415776,-4.662485270252552,-0.5849355961647468,0.45586797083456954,1.8251393568315633,0.6280946416544705,-0.38044676075616995
S192120672,Baja_Q1,1.3058593332593547,-2.9549083646369136,1.061892161629388,1.9774313935233478,1.816145193535209,0.1744059704190219,-0.15828496147216148
S192576909,Baja_Q1,1.3592367006650063,-0.2818320254234457,-0.9274439131001282,-0.9812966327320106,0.22880342190163355,0.955927033517886,0.34612968142859885
S192398377,Media_Q2_Q3,1.5614744026775647,-2.6923962121057845,0.7202204665166161,1.180914888187376,1.438311195755907,-0.7347273487386807,-0.782282635355629
S190899048,Media_Q2_Q3,2.263438842226789,-1.3035929660695218,-0.8907320122703969,-0.6937480333801266,0.5060274994387008,0.6652603677435031,0.2194506029349844
S190606672,Media_Q2_Q3,2.2744357722484496,-2.729542640840081,-1.0477551993719545,-1.5506899166340482,0.8087481624252402,0.0861648423710306,-0.9236791429601483
S189838545,Media_Q2_Q3,2.295639506454605,-2.729542640840081,-1.0477551993719545,-1.5506899166340482,0.8087481624252402,0.0861648423710306,-0.9236791429601483
S192566269,Media_Q2_Q3,1.9915093613566135,1.7017417670403716,-0.9061062177668864,-1.7000193440809068,-0.9723200161437084,0.642398856233566,0.23991034426716534
S191442345,Media_Q2_Q3,2.2545446648710086,1.2935508024888172,-0.4251409973293522,1.3520818091940836,-0.0026012137373859472,1.4175576669491898,1.8770448161496636
S191029981,Media_Q2_Q3,2.25978577213348,1.4832121271762728,-0.8892658025519001,-1.927556960364164,-1.0366248620786662,-0.04201606715323541,-0.2040751861851722
S191228569,Media_Q2_Q3,1.745240533526831,1.297856522380553,-0.8475489380908784,1.4107680299117087,0.49488435135186504,3.152360287812745,2.906156095779882
S191240241,Media_Q2_Q3,1.636713461822734,-2.669226512644253,-0.8724735599118862,-0.9839264218229148,1.0906215219235253,0.24531202076273126,-0.5475675867780033
S193019225,Media_Q2_Q3,1.8372623180697873,-1.8092699375591599,-0.05095034044964731,-0.4157761729790773,0.5806943976721411,-0.7355207702367349,-1.0330437246328055
S191519540,Media_Q2_Q3,2.2459520807289133,0.05109997629802282,-0.6010110860747538,-1.8905007525336748,-0.7402573602234871,-0.31876077723663276,-0.9144818797888247
S192069866,Media_Q2_Q3,2.210253577620973,-2.778011859428547,-0.5374248650283738,-0.8981545223490027,0.7825235202627889,-0.39843646527553916,-1.143024809207787
S192261817,Media_Q2_Q3,2.4459944499772703,1.3671549456005911,1.4011774729600055,1.2584053205603993,-0.7199575554250411,-1.5224384880021384,-0.4249984396115255
S191460724,Baja_Q1,0.6931471805599453,-2.4808144446856963,0.3484331819604045,1.6495496980152742,1.6817837308026562,0.40948319276917716,0.335791054244292
S191349591,Media_Q2_Q3,2.0867886695608995,-1.8670912531883657,-0.946420573680214,-1.2152303411876353,0.530358928705975,0.12739335812592184,-0.5497218941868863
S193222239,Baja_Q1,1.288270729467466,-0.0537665132457784,-1.1675463784191786,-1.1500214876837465,0.11614528252278955,1.1933937468392273,0.521215157839231
S189942627,Baja_Q1,1.1709971261162124,-2.910951147207427,-0.34702567789919236,-0.5753275486284766,1.153611969224077,-0.23934676538678173,-0.9353654204508086
S191982212,Baja_Q1,1.3859380588864982,-2.630115798677941,-0.8314587857322886,-1.5032710807949297,0.7504932236382308,-0.21758749999887758,-1.1792060178943808
S190210875,Baja_Q1,1.3862943611198906,-4.361686012942111,-0.5859226588931152,-0.22889222201956252,1.880868065028125,0.03463802831794232,-0.8680133337769897
S216908827,Baja_Q1,1.3321790402101223,-4.393769213243376,-0.5043888795974653,-0.09640011382892694,1.7780898815284623,0.08974788312870577,-0.8777157904980356
S192371376,Baja_Q1,1.0549201679861442,-2.6923962121057845,0.7202204665166161,1.180914888187376,1.438311195755907,-0.7347273487386807,-0.782282635355629
S191090638,Baja_Q1,-0.0,-3.7642215966798163,-0.5963226742108463,0.8665289304165424,1.9974371189264057,0.921309143113454,0.3770756656936433
S190051040,Baja_Q1,0.9701157839869381,-1.5332680931069094,-0.006327405244441481,0.15360708936034287,0.6667558655606473,0.03128669347830129,-0.27611467370676407
S190798878,Baja_Q1,-0.0,-2.361993638861988,-0.3026980195493312,0.9762226098185409,1.4336546722315637,0.4720835059666017,0.4430917337944478
S191793773,Baja_Q1,-0.0,-4.343800344248854,-0.13105358474253553,0.27770555559437027,1.7567949256721203,-0.11279703432802593,-0.9556641242257754
S189881066,Baja_Q1,-0.0,1.336077091345185,-0.8669311303053651,-0.8910305939604273,-0.5385663964739524,0.5673510722211169,0.7010266845227916
S196119385,Media_Q2_Q3,1.7328679513998633,-4.085109748857044,-0.3478212050851838,0.2417386227377556,1.7845841510019171,0.3768869048784501,-0.4327017742696718
S196654625,Media_Q2_Q3,2.174962094942904,2.5289299100951856,1.152413735699803,1.926662750283882,-0.6172907098894372,0.5244720025657328,1.2186971214294957
S196744889,Alta_Q3,2.8517322405090613,2.241550399006932,-0.20997254360828993,-0.15032073170430535,-0.8612442657292237,0.50037832238452,0.7547130434010423
S196524394,Alta_Q3,2.8951109567099587,1.8082689261547578,-0.5348914358872003,-1.410369400973068,-1.1903693559264752,-0.23536754968960272,-0.13865857510763938
S196095420,Alta_Q3,2.631153010345125,1.5568729712648928,-0.7464854312985961,-0.655958582845204,-0.654396763483632,0.8530321391366635,0.8819043838371652
S195287729,Media_Q2_Q3,2.4694208239648243,-3.79422155975039,-0.5456693949248368,0.22120279485793293,2.1058885203326154,0.5949818579293026,-0.051962974484364155
S194296324,Alta_Q3,2.7459284993221593,2.290739974174352,-0.2662624078148172,0.6050005297794584,-0.7996203961726286,0.2616122913650236,1.1892620529195777
